MonthYear,colony,Tubelabel_species,Health_Status,Extracted,Raw_ng_ul,Extraction_physical_location,Extraction_notes,Condition,Caroline_ITS2
072024,3_87,072024_PAN_BDT_T3_671_PSTR,Healthy,5_21_2026,75.2,UML_PENGUIN_B2,,CLB,x
072024,3_87,072024_PAN_BDT_T3_677_PSTR,CLB,5_21_2026,71.2,UML_PENGUIN_B2,,CLB,x
072024,3_91,072024_PAN_BDT_T3_709_MCAV,Healthy,4_17_2026,36.4,UML_PENGUIN_B2,,CLP,x
072024,3_91,072024_PAN_BDT_T3_711_MCAV,CLP,4_17_2026,8.04,UML_PENGUIN_B2,,CLP,x
072024,4_1,072024_PAN_BDT_T4_800_ORBI,Healthy,3_16_2026,32.4,UML_PENGUIN_B2,,Healthy,
072024,4_10,072024_PAN_BDT_T4_842_ORBI,CLP,4_10_2026,13.1,UML_PENGUIN_B2,,CLP,x
072024,4_10,072024_PAN_BDT_T4_845_ORBI,Healthy,4_10_2026,83.6,UML_PENGUIN_B2,,CLP,x
072024,4_12,072024_PAN_BDT_T4_838_CNAT,Healthy,6_30_2025,44.8,UML_PENGUIN_B1,,Healthy,
072024,4_14,072024_PAN_BDT_T4_823_ORBI,Healthy,2_18_2026,15.2,UML_PENGUIN_B2,,Healthy,
072024,4_19,072024_PAN_BDT_T4_768_CNAT,Healthy,6_30_2025,77.4,UML_PENGUIN_B1,,Healthy,
072024,4_2,072024_PAN_BDT_T4_806_CNAT,Healthy,6_30_2025,31.2,UML_PENGUIN_B1,,Healthy,
072024,4_27,072024_PAN_BDT_T4_758_CNAT,Healthy,6_30_2025,51,UML_PENGUIN_B1,,Healthy,
072024,4_3,072024_PAN_BDT_T4_808_CNAT,Healthy,6_30_2025,16.3,UML_PENGUIN_B1,,Healthy,
072024,4_37,072024_PAN_BDT_T4_826_PSTR,Healthy,6_11_2026,41,UML_PENGUIN_B3,,CLP,x?
072024,4_37,072024_PAN_BDT_T4_828_PSTR,CLP,6_11_2026,28.2,UML_PENGUIN_B3,,CLP,x?
072024,4_4,072024_PAN_BDT_T4_787_ORBI,Healthy,3_16_2026,34.8,UML_PENGUIN_B2,,Healthy,
072024,4_48,072024_PAN_BDT_T4_775_PSTR,CLB,5_21_2026,80.8,UML_PENGUIN_B2,,"CLB, CLP",x
072024,4_48,072024_PAN_BDT_T4_777_PSTR,Healthy,5_21_2026,61.2,UML_PENGUIN_B2,,"CLB, CLP",x
072024,4_8,072024_PAN_BDT_T4_796_CNAT,Healthy,6_30_2025,19.5,UML_PENGUIN_B1,,Healthy,
092022,1_10,92022_PAN_BDT_T1_51_SSID,Healthy,6_09_2026,2.62,UML_PENGUIN_B3,,Healhty,x
092022,1_11,92022_PAN_BDT_T1_52_MCAV,Healthy,5_18_2026,18.8,UML_PENGUIN_B2,,CLP,x
092022,1_14,92022_PAN_BDT_T1_46_ORBI,Healthy,4_06_2026,9.84,UML_PENGUIN_B2,,Healthy,x
092022,1_16,92022_PAN_BDT_T1_12_CNAT,Healthy,6_4_2025,30.4,UML_PENGUIN_B1,,Healthy,
092022,1_17,92022_PAN_BDT_T1_40_MCAV,Healthy,5_18_2026,7.34,UML_PENGUIN_B2,,Healthy,x
092022,1_18,92022_PAN_BDT_T1_41_SSID,Healthy,6_09_2026,5.16,UML_PENGUIN_B3,,Healthy,x
092022,1_23,92022_PAN_BDT_T1_2_CNAT,Healthy,6_4_2025,16.7,UML_PENGUIN_B1,,Healthy,x
092022,1_24,92022_PAN_BDT_T1_3_CNAT,Healthy,6_4_2025,6.22,UML_PENGUIN_B1,,Healthy,
092022,1_25,92022_PAN_BDT_T1_34_ORBI,Healthy,4_06_2026,1.69,UML_PENGUIN_B2,,Healthy,x
092022,1_26,92022_PAN_BDT_T1_5_CNAT,Healthy,6_4_2025,44,UML_PENGUIN_B1,,Healthy,x
092022,1_5,92022_PAN_BDT_T1_15_CNAT,Healthy,6_4_2025,33.2,UML_PENGUIN_B1,,Healthy,
092022,1_6,92022_PAN_BDT_T1_17_CNAT,Healthy,6_4_2025,11.9,UML_PENGUIN_B1,,Healthy,
092022,1_7,92022_PAN_BDT_T1_48_SSID,Healthy,6_09_2026,7.16,UML_PENGUIN_B3,,Healthy,x
092022,2_32,92022_PAN_BDT_T2_27_MCAV,Healthy,5_18_2026,3.34,UML_PENGUIN_B2,,Healthy,x
092022,2_33,92022_PAN_BDT_T2_54_CNAT,Healthy,6_17_2025,7.74,UML_PENGUIN_B1,,Healthy,
092022,2_34,92022_PAN_BDT_T2_55_CNAT,Healthy,6_17_2025,9.56,UML_PENGUIN_B1,,Healthy,x
092022,2_39,92022_PAN_BDT_T2_51_CNAT,Healthy,6_17_2025,3.84,UML_PENGUIN_B1,,Healthy,x
092022,2_44,92022_PAN_BDT_T2_36_CNAT,Healthy,6_4_2025,14.2,UML_PENGUIN_B1,,Healthy,
092022,2_50,92022_PAN_BDT_T2_42_CNAT,Healthy,6_4_2025,26.6,UML_PENGUIN_B1,,CLP,x
092022,2_51,92022_PAN_BDT_T2_29_ORBI,Healthy,4_06_2026,18.2,UML_PENGUIN_B2,,CLB,x
